date,open,high,low,close,volume,return
2020-03-25,5052.2,5095.0,5014.8,5063.2,152591.0,0.022207865622223988
2020-03-26,5033.0,5067.6,4995.6,5004.2,133473.0,-0.011652709748775525
2020-03-27,5054.0,5084.8,4976.0,4976.0,158456.0,-0.005635266376243897
2020-03-30,4905.8,4947.4,4830.0,4898.6,152257.0,-0.015554662379421158
2020-03-31,4952.6,4961.6,4873.6,4884.0,133185.0,-0.0029804433919896622
2020-04-01,4889.8,4980.0,4862.6,4877.0,150892.0,-0.001433251433251459
2020-04-02,4885.4,5056.8,4884.4,5054.0,161194.0,0.03629280295263482
2020-04-03,5035.0,5035.6,4950.8,4983.2,130612.0,-0.014008705975464997
2020-04-07,5088.2,5157.2,5087.6,5134.0,129912.0,0.03026167924225409
2020-04-08,5118.0,5165.0,5108.6,5145.6,112051.0,0.0022594468250878297
2020-04-09,5179.8,5208.4,5161.4,5187.0,117004.0,0.008045708955223718
2020-04-10,5184.0,5184.8,5077.6,5110.0,136113.0,-0.014844804318488558
2020-04-13,5061.8,5087.8,5035.4,5051.8,113651.0,-0.01138943248532287
2020-04-14,5092.8,5172.8,5085.6,5167.2,131356.0,0.0228433429668633
2020-04-15,5177.4,5192.4,5142.0,5144.6,120043.0,-0.00437374206533514
2020-04-16,5133.8,5209.8,5123.4,5188.6,160837.0,0.008552657155075138
2020-04-17,5255.0,5267.8,5165.6,5179.8,159022.0,-0.0016960259029410452
2020-04-20,5196.0,5224.0,5180.8,5216.4,100267.0,0.007065909880690224
2020-04-21,5199.8,5199.8,5094.6,5171.0,127185.0,-0.008703320297523076
2020-04-22,5139.0,5228.0,5121.8,5227.8,124168.0,0.010984335718429827
2020-04-23,5230.0,5236.0,5169.6,5191.6,112486.0,-0.00692451891809176
2020-04-24,5172.0,5185.4,5103.4,5130.8,115295.0,-0.011711225826334881
2020-04-27,5140.6,5170.2,5107.8,5121.4,107457.0,-0.0018320729710767925
2020-04-28,5122.2,5126.2,4984.0,5081.0,149067.0,-0.007888467997032023
2020-04-29,5086.2,5130.6,5080.2,5103.2,107314.0,0.0043692186577444225
2020-04-30,5155.4,5262.8,5150.2,5249.0,131028.0,0.02857030882583489
2020-05-06,5231.0,5341.4,5221.6,5324.2,120325.0,0.014326538388264476
2020-05-07,5335.4,5341.8,5284.0,5309.4,107079.0,-0.002779760339581605
2020-05-08,5345.4,5409.0,5334.0,5382.8,126200.0,0.013824537612536325
2020-05-11,5413.0,5435.4,5344.2,5363.4,118148.0,-0.003604072230066202
2020-05-12,5367.2,5389.2,5317.6,5374.4,124299.0,0.002050937837938527
2020-05-13,5361.0,5402.2,5346.4,5391.8,113034.0,0.003237570705567183
2020-05-14,5373.4,5376.8,5333.4,5354.0,129152.0,-0.007010645795467174
2020-05-15,5376.4,5401.0,5334.0,5334.0,138830.0,-0.0037355248412401787
2020-05-18,5348.0,5374.4,5301.8,5320.8,118999.0,-0.002474690663667012
2020-05-19,5364.0,5391.0,5344.6,5379.8,103696.0,0.011088558111562064
2020-05-20,5377.2,5380.8,5316.2,5334.8,92505.0,-0.008364623220194045
2020-05-21,5343.0,5347.0,5265.0,5270.6,102156.0,-0.012034190597585592
2020-05-22,5262.2,5280.0,5176.4,5194.6,125778.0,-0.014419610670511895
2020-05-25,5201.8,5221.6,5161.6,5181.0,98197.0,-0.002618103415084949
2020-05-26,5212.4,5276.4,5205.6,5267.0,100912.0,0.01659911214051335
2020-05-27,5262.8,5265.2,5200.6,5224.0,100413.0,-0.00816404025061701
2020-05-28,5217.0,5248.6,5144.0,5206.0,122301.0,-0.0034456355283307705
2020-05-29,5183.4,5262.6,5182.8,5238.4,106121.0,0.006223588167499017
2020-06-01,5333.8,5444.4,5328.0,5440.0,129569.0,0.03848503359804534
2020-06-02,5455.4,5463.0,5407.0,5435.6,93918.0,-0.0008088235294116952
2020-06-03,5456.4,5474.4,5419.6,5423.2,100012.0,-0.002281256898962525
2020-06-04,5440.6,5448.4,5393.2,5424.0,89357.0,0.0001475143826523695
2020-06-05,5437.2,5443.2,5390.4,5442.2,96341.0,0.003355457227138592
2020-06-08,5481.8,5487.0,5405.6,5419.2,93294.0,-0.0042262320385138
2020-06-09,5421.8,5461.8,5407.4,5450.2,106276.0,0.0057204015352818605
2020-06-10,5446.0,5448.4,5407.8,5441.2,92417.0,-0.0016513155480533115
2020-06-11,5435.4,5510.0,5398.6,5436.6,149030.0,-0.0008454017496140054
2020-06-12,5382.0,5481.8,5381.4,5456.0,146939.0,0.0035684067247911955
2020-06-15,5455.0,5492.4,5419.6,5420.6,141380.0,-0.006488269794721391
2020-06-16,5484.6,5534.2,5470.4,5534.0,131050.0,0.020920193336530835
2020-06-17,5528.0,5545.8,5496.4,5541.0,113860.0,0.0012649078424287197
